id(float,1);idGroup(float,1);seller(string,137);category(string,116);product(string,232);units(float,1);price(float,1);
0; 0; "AOAO"; "Arts  Crafts  Art Sand"; "10 Minutes Hourglass Sandglass Sand Timer Silver Lid Purple Sand"; 2; 3.4; 
1; 1; "YwYl"; "Arts  Crafts  Art Sand"; "10 Minutes Hourglass Sandglass Sand Timer Silver Lid Purple Sand"; 2; 5.49; 
2; 2; "Hong Kong Wan Xiang"; "Arts  Crafts  Art Sand"; "10 Minutes Hourglass Sandglass Sand Timer Silver Lid Purple Sand"; 2; 5.49; 
3; 3; "Well-Goal"; "Arts  Crafts  Art Sand"; "10 Minutes Hourglass Sandglass Sand Timer Silver Lid Purple Sand"; 4; 5.49; 
4; 4; "Universal Color"; "Arts  Crafts  Art Sand"; "15 Minutes Hourglass Sandglass Sand Timer Blue"; 1; 3.85; 
5; 5; "Trend Mall"; "Arts  Crafts  Art Sand"; "15 Minutes Hourglass Sandglass Sand Timer Blue"; 1; 3.85; 
6; 6; "Universal Color"; "Arts  Crafts  Art Sand"; "2 Minutes Security Hourglass Sand Timer Orange"; 1; 5.27; 
7; 7; "DDING"; "Arts  Crafts  Art Sand"; "2 Minutes Security Hourglass Sand Timer Orange"; 2; 6.95; 
8; 8; "GoodDing"; "Arts  Crafts  Art Sand"; "2 Minutes Security Hourglass Sand Timer Orange"; 3; 6.9; 
9; 9; "YwYl"; "Arts  Crafts  Art Sand"; "2 Minutes Security Hourglass Sand Timer Orange"; 4; 9.66; 
10; 10; "STK e-Shop"; "Arts  Crafts  Art Sand"; "2 Minutes Security Hourglass Sand Timer Orange"; 5; 5.89; 
11; 11; "Trend Mall"; "Arts  Crafts  Art Sand"; "2 Minutes Security Hourglass Sand Timer Orange"; 6; 5.27; 
12; 12; "Well-Goal"; "Arts  Crafts  Art Sand"; "2 Minutes Security Hourglass Sand Timer Orange"; 6; 9.74; 
13; 13; "Trend Mall"; "Arts  Crafts  Art Sand"; "2Minute Hourglass Sandglass Sand Timer  Pink"; 2; 0.86; 
14; 14; "Universal Color"; "Arts  Crafts  Art Sand"; "2Minute Hourglass Sandglass Sand Timer  Pink"; 3; 0.86; 
15; 15; "Well-Goal"; "Arts  Crafts  Art Sand"; "2Minute Hourglass Sandglass Sand Timer  Pink"; 3; 1.27; 
16; 16; "aufodara"; "Arts  Crafts  Art Sand"; "2Minute Hourglass Sandglass Sand Timer  Pink"; 5; 0.92; 
17; 17; "Betterprices"; "Arts  Crafts  Art Sand"; "2Minute Hourglass Sandglass Sand Timer  Pink"; 6; 0.86; 
18; 18; "SWEET LUCKY"; "Arts  Crafts  Art Sand"; "2Minute Hourglass Sandglass Sand Timer  Pink"; 6; 2.98; 
19; 19; "YwYl"; "Arts  Crafts  Art Sand"; "2Minute Hourglass Sandglass Sand Timer  Pink"; 7; 1.27; 
20; 20; "STK e-Shop"; "Arts  Crafts  Art Sand"; "2Minute Hourglass Sandglass Sand Timer  Pink"; 7; 1.28; 
21; 21; "Hong Kong Wan Xiang"; "Arts  Crafts  Art Sand"; "2Minute Hourglass Sandglass Sand Timer  Pink"; 9; 1.27; 
22; 22; "Universal Color"; "Arts  Crafts  Art Sand"; "5 Minutes Hourglass Sandglass Sand Timer for CookingGameExercise TimingYellow"; 1; 1.75; 
23; 23; "STK e-Shop"; "Arts  Crafts  Art Sand"; "5 Minutes Hourglass Sandglass Sand Timer for CookingGameExercise TimingYellow"; 2; 1.75; 
24; 24; "Buyway Online"; "Arts  Crafts  Art Sand"; "5 Minutes Hourglass Sandglass Sand Timer for CookingGameExercise TimingYellow"; 3; 1.75; 
25; 25; "Home Star Supplies Ltd"; "Arts  Crafts  Art Sand"; "Childrens Bottle Glow Sand Art Set Make Your Own Activity Craft Kit"; 3; 6.25; 
26; 26; "Unibos"; "Arts  Crafts  Art Sand"; "Childrens Bottle Glow Sand Art Set Make Your Own Activity Craft Kit"; 7; 5.68; 
27; 27; "EJ Supplies"; "Arts  Crafts  Art Sand"; "Childrens Bottle Glow Sand Art Set Make Your Own Activity Craft Kit"; 10; 5.63; 
28; 28; "eazyonlineshop"; "Arts  Crafts  Art Sand"; "Childrens Bottle Glow Sand Art Set Make Your Own Activity Craft Kit"; 10; 5.67; 
